***
bimodal-copy: Branch Prediction Accuracy | MPKI | and so on
bimodal-copy_client_001.out: 88.33% | 22.92
bimodal-copy_client_002.out: 88.00% | 21.68
bimodal-copy_client_003.out: 88.88% | 19.50
bimodal-copy_client_004.out: 90.72% | 13.78
bimodal-copy_client_005.out: 87.59% | 23.60
bimodal-copy_client_006.out: 85.78% | 23.90
bimodal-copy_client_007.out: 81.65% | 26.86
bimodal-copy_client_008.out: 81.33% | 45.54
bimodal-copy_server_001.out: 86.70% | 23.84
bimodal-copy_server_002.out: 82.22% | 22.36
bimodal-copy_server_003.out: 92.18% | 14.94
bimodal-copy_server_004.out: 89.68% | 19.80
bimodal-copy_server_009.out: 81.08% | 36.94
bimodal-copy_server_010.out: 92.33% | 14.68
bimodal-copy_server_011.out: 97.41% | 5.04
bimodal-copy_server_012.out: 92.30% | 14.70
bimodal-copy_server_013.out: 89.26% | 20.72
bimodal-copy_server_014.out: 80.91% | 25.08
bimodal-copy_server_015.out: 80.91% | 25.08
bimodal-copy_server_016.out: 63.17% | 69.78
bimodal-copy_server_017.out: 84.49% | 26.08
bimodal-copy_server_018.out: 91.51% | 13.46
bimodal-copy_server_019.out: 87.19% | 20.08
bimodal-copy_server_020.out: 90.20% | 16.56
bimodal-copy_server_021.out: 91.40% | 13.80
bimodal-copy_server_022.out: 90.71% | 15.76
bimodal-copy_server_023.out: 62.19% | 70.30
bimodal-copy_server_024.out: 69.21% | 58.80
bimodal-copy_server_025.out: 62.28% | 69.40
bimodal-copy_server_026.out: 64.25% | 65.98
bimodal-copy_server_027.out: 59.37% | 74.98
bimodal-copy_server_028.out: 61.84% | 71.29
bimodal-copy_server_029.out: 61.70% | 71.53
bimodal-copy_server_030.out: 61.21% | 72.14
bimodal-copy_server_031.out: 60.16% | 74.00
bimodal-copy_server_032.out: 59.48% | 74.84
bimodal-copy_server_033.out: 70.37% | 56.18
bimodal-copy_server_034.out: 70.32% | 56.18
bimodal-copy_server_035.out: 71.07% | 54.92
bimodal-copy_server_036.out: 84.06% | 25.94
bimodal-copy_server_037.out: 82.28% | 31.80
bimodal-copy_server_038.out: 80.46% | 34.82
bimodal-copy_server_039.out: 78.40% | 36.04
bimodal-copy_spec_gcc_001.out: 91.89% | 24.12
bimodal-copy_spec_gcc_002.out: 79.83% | 47.48
bimodal-copy_spec_gcc_003.out: 83.26% | 39.16
bimodal-copy_spec_gobmk_001.out: 84.42% | 25.78
bimodal-copy_spec_gobmk_002.out: 81.93% | 31.96
bimodal-copy_spec_perlbench_001.out: 96.83% | 5.70
bimodal-copy_spec_x264_001.out: 84.38% | 5.68
***
***
bimodal-copy, gshare-copy, perceptron-copy: Branch Prediction Accuracy | MPKI | and so on
bimodal-copy_client_001.out:             88.33, 87.41, 80.66 | 22.92,  24.7, 37.98
bimodal-copy_client_002.out:                88, 87.94, 82.68 | 21.68, 21.78, 31.28
bimodal-copy_client_003.out:             88.88, 87.57, 83.09 |  19.5,  21.8, 29.66
bimodal-copy_client_004.out:             90.72, 94.99, 87.79 | 13.78,  7.44, 18.14
bimodal-copy_client_005.out:             87.59, 89.02, 82.86 |  23.6,  20.9, 32.58
bimodal-copy_client_006.out:             85.78, 86.89, 78.58 |  23.9, 22.04,    36
bimodal-copy_client_007.out:             81.65, 83.21, 72.28 | 26.86, 24.64, 40.56
bimodal-copy_client_008.out:             81.33, 80.26, 72.02 | 45.54, 48.16, 68.25
bimodal-copy_server_001.out:              86.7, 85.01, 80.74 | 23.84, 26.86, 34.52
