***
bimodal-copy: Branch Prediction Accuracy | MPKI | and so on
bimodal-copy_client_001.out: 89.46% | 20.70
bimodal-copy_client_002.out: 90.17% | 17.76
bimodal-copy_client_003.out: 90.48% | 16.70
bimodal-copy_client_004.out: 90.63% | 13.92
bimodal-copy_client_005.out: 90.10% | 18.84
bimodal-copy_client_006.out: 87.30% | 21.38
bimodal-copy_client_007.out: 84.98% | 22.04
bimodal-copy_client_008.out: 83.48% | 40.30
bimodal-copy_server_001.out: 86.96% | 23.36
bimodal-copy_server_002.out: 87.36% | 15.92
bimodal-copy_server_003.out: 92.12% | 15.06
bimodal-copy_server_004.out: 89.63% | 19.92
bimodal-copy_server_009.out: 83.71% | 31.80
bimodal-copy_server_010.out: 92.35% | 14.64
bimodal-copy_server_011.out: 97.41% | 5.04
bimodal-copy_server_012.out: 92.32% | 14.66
bimodal-copy_server_013.out: 89.85% | 19.58
bimodal-copy_server_014.out: 86.28% | 18.02
bimodal-copy_server_015.out: 86.28% | 18.02
bimodal-copy_server_016.out: 65.70% | 64.98
bimodal-copy_server_017.out: 87.82% | 20.48
bimodal-copy_server_018.out: 93.33% | 10.58
bimodal-copy_server_019.out: 90.04% | 15.62
bimodal-copy_server_020.out: 91.91% | 13.64
bimodal-copy_server_021.out: 93.59% | 10.28
bimodal-copy_server_022.out: 95.23% | 8.08
bimodal-copy_server_023.out: 63.25% | 68.34
bimodal-copy_server_024.out: 71.33% | 54.74
bimodal-copy_server_025.out: 63.37% | 67.40
bimodal-copy_server_026.out: 65.88% | 62.98
bimodal-copy_server_027.out: 60.39% | 73.10
bimodal-copy_server_028.out: 61.85% | 71.36
bimodal-copy_server_029.out: 61.68% | 71.57
bimodal-copy_server_030.out: 61.31% | 71.98
bimodal-copy_server_031.out: 60.25% | 73.84
bimodal-copy_server_032.out: 60.35% | 73.23
bimodal-copy_server_033.out: 74.39% | 48.68
bimodal-copy_server_034.out: 74.36% | 48.54
bimodal-copy_server_035.out: 75.42% | 46.74
bimodal-copy_server_036.out: 88.46% | 18.76
bimodal-copy_server_037.out: 89.00% | 19.72
bimodal-copy_server_038.out: 86.91% | 23.28
bimodal-copy_server_039.out: 82.37% | 29.42
bimodal-copy_spec_gcc_001.out: 93.48% | 19.38
bimodal-copy_spec_gcc_002.out: 82.93% | 40.18
bimodal-copy_spec_gcc_003.out: 86.57% | 31.42
bimodal-copy_spec_gobmk_001.out: 85.04% | 24.76
bimodal-copy_spec_gobmk_002.out: 81.82% | 32.12
bimodal-copy_spec_perlbench_001.out: 95.52% | 8.06
bimodal-copy_spec_x264_001.out: 85.81% | 5.16
***
***
bimodal-copy, gshare-copy, perceptron-copy: Branch Prediction Accuracy | MPKI | and so on
bimodal-copy_client_001.out:             89.46, 87.41, 80.66 |  20.7,  24.7, 37.98
bimodal-copy_client_002.out:             90.17, 87.94, 82.68 | 17.76, 21.78, 31.28
bimodal-copy_client_003.out:             90.48, 87.57, 83.09 |  16.7,  21.8, 29.66
bimodal-copy_client_004.out:             90.63, 94.99, 87.79 | 13.92,  7.44, 18.14
